Nombre,Genero,Desarrollador,Clasificacion
Grand Theft Auto IV,Accion,Rockstar Games,M
The Elder Scrolls IV: Oblivion,RPG,Bethesda,M
Tony Hawk's Pro Skater 2,Deportes,Activision,T
God of War,Accion,Santa Monica Studio,M
The Legend of Zelda: Ocarina of Time,Aventura,Activision,E
FIFA 23,Deportes,EA Sports,E
Final Fantasy VII,RPG,Square Enix,T
Uncharted 2: Among Thieves,Aventura,Activision,T
Devil May Cry 3,Accion,Capcom,M
Pokemon Emerald,RPG,Game Freak,E
NBA 2K23,Deportes,Visual Concepts,E
Resident Evil 4,Terror,Capcom,M
Silent Hill 2,Terror,Konami,M
The Witcher 3: Wild Hunt,RPG,CD Projekt Red,M
Street Fighter II,Pelea,Capcom,T
Mortal Kombat 9,Pelea,NetherRealm Studios,M
Metal Gear Solid 3,Accion,Konami,M
Shadow of the Colossus,Aventura,Team Ico,T
Rocket League,Deportes,Psyonix,E
Dead Space,Terror,EA Redwood Shores,M
